timestamp,resistance_mohm
2026-08-24T00:40:39,166
2026-08-24T00:42:56,165
2026-08-24T00:44:37,164
2026-08-24T00:47:02,162
2026-08-24T00:49:38,162
2026-08-24T00:52:30,161
